RelaX Services

{'card_number': '4818081161475565', 'expiration_date': '7/30', 'cvv': '853', 'card_holder': 'SEFA TAHSİN MUSTAFA YAVUZ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '305 TRY'}
{'card_number': '4633201787547182', 'expiration_date': '1/27', 'cvv': '839', 'card_holder': 'BAKİ MERİÇ SEMİH RAHİM', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '127 TRY'}
{'card_number': '4594363257628707', 'expiration_date': '2/27', 'cvv': '768', 'card_holder': 'SELMAN MEHMET İHSAN TANSU', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '94 TRY'}
{'card_number': '4343638667214253', 'expiration_date': '2/24', 'cvv': '521', 'card_holder': 'ENVER MÜJDAT ORÇUN VEDAT', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '455 TRY'}
{'card_number': '4176658631828147', 'expiration_date': '11/26', 'cvv': '411', 'card_holder': 'NAMIK TUNCAY İLYAS EFE', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '1023 TRY'}
{'card_number': '4077193907780871', 'expiration_date': '11/30', 'cvv': '610', 'card_holder': 'LATİF MEHMET EREN RAMAZAN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '464 TRY'}
{'card_number': '4605732309927233', 'expiration_date': '11/26', 'cvv': '347', 'card_holder': 'TOLUNAY RAMAZAN HİLMİ EMRE', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '281 TRY'}
{'card_number': '4673153497350046', 'expiration_date': '7/27', 'cvv': '335', 'card_holder': 'FERDİ SEFA FATİH HAYDAR', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '2268 TRY'}
{'card_number': '4626423108450602', 'expiration_date': '10/28', 'cvv': '624', 'card_holder': 'ALİ YİĞİT ONUR SEZGİN', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '372 TRY'}
{'card_number': '4826338367460571', 'expiration_date': '6/27', 'cvv': '375', 'card_holder': 'SALİH ENVER İHSAN FURKAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '3 TRY'}
{'card_number': '4915268260634588', 'expiration_date': '9/26', 'cvv': '560', 'card_holder': 'ZAİD ATİLLA YILMAZ TOLGA', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '35 TRY'}
{'card_number': '4299776531230727', 'expiration_date': '1/24', 'cvv': '849', 'card_holder': 'YAŞAR OKAN ENGİN BATUHAN', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '231 TRY'}
{'card_number': '4595308077999001', 'expiration_date': '6/29', 'cvv': '958', 'card_holder': 'FATİH GÜVEN VELİ EREN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '5116 TRY'}
{'card_number': '4047742013668052', 'expiration_date': '10/28', 'cvv': '522', 'card_holder': 'LOKMAN ŞEREF ÜMİT FİKRET', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '273 TRY'}
{'card_number': '4859503267875620', 'expiration_date': '4/27', 'cvv': '254', 'card_holder': 'ÖZGÜR ZİHNİ İLYAS EMİN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '171 TRY'}
{'card_number': '4358066483848959', 'expiration_date': '8/30', 'cvv': '630', 'card_holder': 'HALUK OKAN TOLGA YAŞAR', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '47 TRY'}
{'card_number': '4954162826125789', 'expiration_date': '8/29', 'cvv': '492', 'card_holder': 'AHMET GÖKTUĞ GÖKTUĞ TUNCAY', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '31 TRY'}
{'card_number': '4988834776563793', 'expiration_date': '9/25', 'cvv': '147', 'card_holder': 'BATUHAN NERGİZ ERDOĞAN KEMAL', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '44 TRY'}
{'card_number': '4801802690521796', 'expiration_date': '11/27', 'cvv': '690', 'card_holder': 'BURAK SEFA TOPRAK CENGİZ', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '169 TRY'}
{'card_number': '4552413736205088', 'expiration_date': '4/28', 'cvv': '960', 'card_holder': 'FERHAN İBRAHİM ZAFER UFUK', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '246 TRY'}
{'card_number': '4101177715434417', 'expiration_date': '11/30', 'cvv': '404', 'card_holder': 'SAMİ ZAFER ÇETİN SONER', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '17 TRY'}
{'card_number': '4294597027469487', 'expiration_date': '3/29', 'cvv': '100', 'card_holder': 'ZAFER ERDOĞAN TUNCAY İSMAİL', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '577 TRY'}
{'card_number': '4397299403680938', 'expiration_date': '12/24', 'cvv': '034', 'card_holder': 'ŞAHİN ZAİD TEKİN KAMRAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '53 TRY'}
{'card_number': '4329765350374314', 'expiration_date': '9/30', 'cvv': '316', 'card_holder': 'ÖZCAN SEMİH BERAT YASİN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '448 TRY'}
{'card_number': '4664083761910152', 'expiration_date': '6/26', 'cvv': '367', 'card_holder': 'ZAİD UZAY CİHAN AHMET', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '151 TRY'}
{'card_number': '4859515767993976', 'expiration_date': '4/26', 'cvv': '578', 'card_holder': 'ÜLKÜ MERT EMİN VEDİ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '47 TRY'}
{'card_number': '4789713411917666', 'expiration_date': '6/24', 'cvv': '191', 'card_holder': 'SEFA TAYFUN YAŞAR ZÜBEYİR', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '292 TRY'}
{'card_number': '4242375254166354', 'expiration_date': '11/27', 'cvv': '531', 'card_holder': 'CUMA KUBİLAY PAMİR MEHMET', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '493 TRY'}
{'card_number': '4158397001793225', 'expiration_date': '4/30', 'cvv': '419', 'card_holder': 'TAYFUN ZAFER OKTAY RAMAZAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '350 TRY'}
{'card_number': '4071508011949821', 'expiration_date': '4/26', 'cvv': '200', 'card_holder': 'TARIK FERHAT VEDAT ÜMİT', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '14 TRY'}
{'card_number': '4717967977890264', 'expiration_date': '12/28', 'cvv': '225', 'card_holder': 'FERHAT MUZAFFER ÇAĞRI HAKAN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '170 TRY'}
{'card_number': '4399723719986703', 'expiration_date': '8/25', 'cvv': '424', 'card_holder': 'ERDEM EMRE GÖRKEM İZZET', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '244 TRY'}
{'card_number': '4477644715879772', 'expiration_date': '10/25', 'cvv': '589', 'card_holder': 'ÖZCAN EFE HİLMİ ENVER', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '20 TRY'}
{'card_number': '4172251078322156', 'expiration_date': '3/25', 'cvv': '741', 'card_holder': 'VEDAT EFE MESUT YENER', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '61 TRY'}
{'card_number': '4834079174343895', 'expiration_date': '10/29', 'cvv': '311', 'card_holder': 'VEDİ EREN ORÇUN OKAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '500 TRY'}
{'card_number': '4029906145343007', 'expiration_date': '6/25', 'cvv': '350', 'card_holder': 'TOPRAK SONER TUNCAY BAHADIR', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '13 TRY'}
{'card_number': '4926367893150058', 'expiration_date': '1/26', 'cvv': '237', 'card_holder': 'YAVUZ TEVFİK NECATİ HALİL', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '386 TRY'}
{'card_number': '4482085309111599', 'expiration_date': '12/25', 'cvv': '867', 'card_holder': 'ORÇUN GÖKHAN TUFAN TUNCAY', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '2644 TRY'}
{'card_number': '4842724867239567', 'expiration_date': '3/27', 'cvv': '080', 'card_holder': 'ÖZGÜR YAŞAR HALİT NİYAZİ', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '192 TRY'}
{'card_number': '4399856412773323', 'expiration_date': '2/26', 'cvv': '360', 'card_holder': 'YAVUZ ÖZCAN SERKAN EREN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '45 TRY'}
{'card_number': '4663541781284461', 'expiration_date': '11/27', 'cvv': '299', 'card_holder': 'ŞENOL UFUK FERDİ NERGİZ', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '37 TRY'}
{'card_number': '4729361752953834', 'expiration_date': '4/27', 'cvv': '536', 'card_holder': 'CAN ZAFER MUSTAFA ZİHNİ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '46 TRY'}
{'card_number': '4885213580055938', 'expiration_date': '7/26', 'cvv': '536', 'card_holder': 'ENVER ERDOĞAN MEHMET TOLGA', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '15 TRY'}
{'card_number': '4299852185777477', 'expiration_date': '9/29', 'cvv': '477', 'card_holder': 'MÜJDAT UZAY MEHMET DORUK', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '37 TRY'}
{'card_number': '4982425323889793', 'expiration_date': '9/26', 'cvv': '734', 'card_holder': 'ZAİD İZZET ÜLKÜ TOLGA', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '35 TRY'}
{'card_number': '4088755222057792', 'expiration_date': '3/28', 'cvv': '964', 'card_holder': 'GÖRKEM ŞEFİK KEMAL ZÜLFÜ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '35 TRY'}
{'card_number': '4494722488854971', 'expiration_date': '3/29', 'cvv': '562', 'card_holder': 'KADİR SİNAN CUMA MERT', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '42 TRY'}
{'card_number': '4876566130786075', 'expiration_date': '12/30', 'cvv': '554', 'card_holder': 'VEDİ BAHADIR HAYDAR ALP', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '42 TRY'}
{'card_number': '4144252600590505', 'expiration_date': '6/29', 'cvv': '649', 'card_holder': 'FİKRET RAMAZAN GÖKTUĞ DORUK', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '45 TRY'}
{'card_number': '4539989400762437', 'expiration_date': '6/28', 'cvv': '406', 'card_holder': 'GALİP FERHAT ÖMER DİNÇER', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '214 TRY'}
{'card_number': '4770707799540059', 'expiration_date': '12/28', 'cvv': '944', 'card_holder': 'ZÜLFÜ YAVUZ OĞUZ YAHYA', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '223 TRY'}
{'card_number': '4443544846182016', 'expiration_date': '6/25', 'cvv': '579', 'card_holder': 'ENVER TUNCAY HALİT VELİ', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '359 TRY'}
{'card_number': '4219093531494163', 'expiration_date': '2/28', 'cvv': '325', 'card_holder': 'FAİK KUBİLAY ÇAĞLAR VEDAT', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '288 TRY'}
{'card_number': '4302307306512050', 'expiration_date': '2/29', 'cvv': '643', 'card_holder': 'TOPRAK KUBİLAY SEMİH FAİK', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '268 TRY'}
{'card_number': '4135024700567423', 'expiration_date': '2/29', 'cvv': '374', 'card_holder': 'GÜVEN HİKMET HASİP RAMAZAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '210 TRY'}
{'card_number': '4244272708858942', 'expiration_date': '7/28', 'cvv': '098', 'card_holder': 'ERHAN MÜJDAT FURKAN HASAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '46 TRY'}
{'card_number': '4072731215553681', 'expiration_date': '6/29', 'cvv': '006', 'card_holder': 'ŞAHİN MEHMET NERGİZ MUZAFFER', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '24 TRY'}
{'card_number': '4457670272999954', 'expiration_date': '11/24', 'cvv': '676', 'card_holder': 'TOPRAK EMRE PAMİR HALİL', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '15 TRY'}
{'card_number': '4700101176624923', 'expiration_date': '10/28', 'cvv': '287', 'card_holder': 'ZAFER SAMİ MERT HASİP', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '3278 TRY'}
{'card_number': '4409119224303369', 'expiration_date': '12/25', 'cvv': '903', 'card_holder': 'ÇAĞRI UMUT BERK AHMET', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '487 TRY'}
{'card_number': '4290017030130921', 'expiration_date': '4/25', 'cvv': '167', 'card_holder': 'LOKMAN EVREN PAMİR GALİP', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '453 TRY'}
{'card_number': '4361628057873369', 'expiration_date': '1/28', 'cvv': '534', 'card_holder': 'TOLUNAY TARIK HİKMET TANER', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '122 TRY'}
{'card_number': '4570269409242370', 'expiration_date': '12/24', 'cvv': '114', 'card_holder': 'ÜLKÜ FERHAN BAYRAM TOLUNAY', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '143 TRY'}
{'card_number': '4531048734119489', 'expiration_date': '9/27', 'cvv': '454', 'card_holder': 'SELMAN MERT YAVUZ HAŞIM', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '164 TRY'}
{'card_number': '4889344182622142', 'expiration_date': '2/28', 'cvv': '803', 'card_holder': 'FATİH LEVENT İHSAN HALİT', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '386 TRY'}
{'card_number': '4882623141384358', 'expiration_date': '4/26', 'cvv': '995', 'card_holder': 'YİĞİT SALİH ORHAN TEKİN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '356 TRY'}
{'card_number': '4039617717988669', 'expiration_date': '5/27', 'cvv': '725', 'card_holder': 'TARIK POLAT İSMAİL ZÜLFÜ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '472 TRY'}
{'card_number': '4226000887030641', 'expiration_date': '5/24', 'cvv': '397', 'card_holder': 'FERHAT İRFAN İZZET CİHAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '36 TRY'}
{'card_number': '4458603700707342', 'expiration_date': '12/24', 'cvv': '441', 'card_holder': 'ÖCAL FERHAN YAVUZ ENVER', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '180 TRY'}
{'card_number': '4917378048606416', 'expiration_date': '7/24', 'cvv': '866', 'card_holder': 'KURTULUŞ UFUK SELMAN SALİH', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '452 TRY'}
{'card_number': '4808777075730357', 'expiration_date': '4/27', 'cvv': '532', 'card_holder': 'ERTUĞRUL EMİN ÇINAR HAYDAR', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '456 TRY'}
{'card_number': '4904479791601037', 'expiration_date': '12/24', 'cvv': '531', 'card_holder': 'MERİÇ ÖZDEMİR BAHADIR ÇINAR', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '393 TRY'}
{'card_number': '4063359711607404', 'expiration_date': '12/27', 'cvv': '098', 'card_holder': 'MEHMET SERKAN ÜLKÜ KAMİL', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '48 TRY'}
{'card_number': '4012705867931711', 'expiration_date': '7/25', 'cvv': '281', 'card_holder': 'TANER REFİK ZAİD EREN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '27 TRY'}
{'card_number': '4805488043253646', 'expiration_date': '1/25', 'cvv': '779', 'card_holder': 'ŞEREF ERTAN YENER AYHAN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '239 TRY'}
{'card_number': '4386187293777075', 'expiration_date': '9/29', 'cvv': '726', 'card_holder': 'ALİHAN BÜLENT NAİM İSMAİL', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '276 TRY'}
{'card_number': '4681707242485447', 'expiration_date': '7/25', 'cvv': '096', 'card_holder': 'FARUK İSMAİL YILMAZ ÇINAR', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '338 TRY'}
{'card_number': '4719115309842995', 'expiration_date': '12/24', 'cvv': '939', 'card_holder': 'ÖMER MAHMUT KORAY FATİH', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '50 TRY'}
{'card_number': '4928542207209190', 'expiration_date': '2/29', 'cvv': '910', 'card_holder': 'AYHAN TUNCAY RASİM TAHSİN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '477 TRY'}
{'card_number': '4261604401914945', 'expiration_date': '7/28', 'cvv': '378', 'card_holder': 'CİHAN EMRE VEDAT HİLMİ', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '129 TRY'}
{'card_number': '4480702165025299', 'expiration_date': '12/30', 'cvv': '434', 'card_holder': 'SELMAN YAHYA FERİT OĞUZ', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '14 TRY'}
{'card_number': '4423087374844429', 'expiration_date': '5/25', 'cvv': '643', 'card_holder': 'TAYFUN TANJU ALİ TUNCAY', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '109 TRY'}
{'card_number': '4103296690782570', 'expiration_date': '2/29', 'cvv': '877', 'card_holder': 'FERHAN FERDİ FARUK KAYA', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '31 TRY'}
{'card_number': '4691938150930433', 'expiration_date': '10/30', 'cvv': '993', 'card_holder': 'SAMİ HALUK ALP GALİP', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '113 TRY'}
{'card_number': '4156567780744258', 'expiration_date': '7/29', 'cvv': '136', 'card_holder': 'UMUT YAĞIZ ORHAN ALP', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '4147 TRY'}
{'card_number': '4044050210584467', 'expiration_date': '4/28', 'cvv': '942', 'card_holder': 'RAMAZAN NİHAT HAŞIM UZAY', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '403 TRY'}
{'card_number': '4180803310029963', 'expiration_date': '7/25', 'cvv': '651', 'card_holder': 'YENER TOLUNAY İSMAİL HARUN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '1608 TRY'}
{'card_number': '4217622710120793', 'expiration_date': '8/24', 'cvv': '560', 'card_holder': 'HASAN YÜCEL CAN ENVER', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '45 TRY'}
{'card_number': '4146613567043127', 'expiration_date': '11/27', 'cvv': '437', 'card_holder': 'BATUHAN RAHİM NİHAT VELİ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '232 TRY'}
{'card_number': '4530509333486521', 'expiration_date': '11/25', 'cvv': '682', 'card_holder': 'BATUHAN KAMRAN UMUT NECATİ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '1143 TRY'}
{'card_number': '4049062013889816', 'expiration_date': '7/28', 'cvv': '341', 'card_holder': 'BAHADIR YAVUZ SERKAN HARUN', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '36 TRY'}
{'card_number': '4758682221293062', 'expiration_date': '11/24', 'cvv': '958', 'card_holder': 'RASİM FERİT MÜJDAT OSMAN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '29 TRY'}
{'card_number': '4495116364940294', 'expiration_date': '10/29', 'cvv': '272', 'card_holder': 'BERK MERİÇ HİLMİ NİYAZİ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '5944 TRY'}
{'card_number': '4954754179249974', 'expiration_date': '4/28', 'cvv': '368', 'card_holder': 'ÇAĞRI SELİM BAYRAM NAZIM', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '409 TRY'}
{'card_number': '4088983606507949', 'expiration_date': '6/24', 'cvv': '829', 'card_holder': 'TOPRAK FİKRET ERTAN BAHADIR', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '78 TRY'}
{'card_number': '4965585389123360', 'expiration_date': '3/28', 'cvv': '996', 'card_holder': 'FİKRET ARDA GALİP ZİYA', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '500 TRY'}
{'card_number': '4742734889959655', 'expiration_date': '1/26', 'cvv': '689', 'card_holder': 'GÖKHAN LEVENT YENER HALİL', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '291 TRY'}
{'card_number': '4439516663976734', 'expiration_date': '2/25', 'cvv': '247', 'card_holder': 'ERDOĞAN AYBARS NAİM ÇINAR', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '12 TRY'}
{'card_number': '4350805733242945', 'expiration_date': '7/25', 'cvv': '289', 'card_holder': 'ŞAHİN YAŞAR AHMET YAHYA', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '385 TRY'}
{'card_number': '4308807367299392', 'expiration_date': '9/27', 'cvv': '470', 'card_holder': 'ZEKİ MUZAFFER ERTUĞRUL NİYAZİ', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '347 TRY'}
{'card_number': '4896860494598051', 'expiration_date': '4/24', 'cvv': '431', 'card_holder': 'RAMAZAN ÇAĞLAR ERTUĞRUL TEKİN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '163 TRY'}
{'card_number': '4042524391622918', 'expiration_date': '2/30', 'cvv': '142', 'card_holder': 'DORUK BURAK BÜLENT MUZAFFER', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '6351 TRY'}
{'card_number': '4057859157271209', 'expiration_date': '1/26', 'cvv': '536', 'card_holder': 'LEVENT ZAFER LOKMAN GÜRSOY', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '8 TRY'}
{'card_number': '4201658757414242', 'expiration_date': '11/25', 'cvv': '956', 'card_holder': 'YÜCEL İHSAN ARDA BURAK', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '45 TRY'}
{'card_number': '4741787174732246', 'expiration_date': '8/29', 'cvv': '364', 'card_holder': 'NİYAZİ KURTULUŞ DENİZ TEKİN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '3380 TRY'}
{'card_number': '4350990952068971', 'expiration_date': '5/29', 'cvv': '672', 'card_holder': 'ENGİN KEMAL UMUT DENİZ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '488 TRY'}
{'card_number': '4413925184893023', 'expiration_date': '12/29', 'cvv': '247', 'card_holder': 'BAKİ YAHYA SELİM TURGUT', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '409 TRY'}
{'card_number': '4373058312633638', 'expiration_date': '6/25', 'cvv': '699', 'card_holder': 'ATİLLA MAHMUT ALP TEVFİK', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '73 TRY'}
{'card_number': '4711529476126594', 'expiration_date': '11/27', 'cvv': '212', 'card_holder': 'RIDVAN MEHMET ZAİM LEVENT', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '149 TRY'}
{'card_number': '4936991950325663', 'expiration_date': '3/25', 'cvv': '469', 'card_holder': 'SEMİH ÇAĞRI NİHAT TARIK', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '2 TRY'}
{'card_number': '4029519184012191', 'expiration_date': '9/24', 'cvv': '135', 'card_holder': 'SEFA OĞUZ OKTAY KADİR', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '351 TRY'}
{'card_number': '4801545390083126', 'expiration_date': '1/30', 'cvv': '537', 'card_holder': 'VELİ YAŞAR AYHAN KAZIM', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '130 TRY'}
{'card_number': '4016865158523027', 'expiration_date': '2/24', 'cvv': '661', 'card_holder': 'DAVUT ÜLKÜ BATUHAN ARDA', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '411 TRY'}
{'card_number': '4924153622602201', 'expiration_date': '8/30', 'cvv': '295', 'card_holder': 'YAĞIZ ÜMİT RASİM ZEKİ', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '3381 TRY'}
{'card_number': '4250998869944953', 'expiration_date': '11/28', 'cvv': '749', 'card_holder': 'KORAY RAMAZAN SALİH KADİR', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '363 TRY'}
{'card_number': '4463643141078450', 'expiration_date': '7/26', 'cvv': '378', 'card_holder': 'BURAK SEMİH VOLKAN GÖKTUĞ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '35 TRY'}
{'card_number': '4953394035119185', 'expiration_date': '7/29', 'cvv': '521', 'card_holder': 'RASİT HÜSEYİN YİĞİT SAMİ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '334 TRY'}
{'card_number': '4854645336823084', 'expiration_date': '3/29', 'cvv': '013', 'card_holder': 'RAHİM EREN NAZIM YAŞAR', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '493 TRY'}
{'card_number': '4538713764710753', 'expiration_date': '5/30', 'cvv': '225', 'card_holder': 'SEFA ÇAĞRI DİNÇ İZZET', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '8 TRY'}
{'card_number': '4325812693565929', 'expiration_date': '4/24', 'cvv': '394', 'card_holder': 'TANER FERHAT MESUT LOKMAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '46 TRY'}
{'card_number': '4887211667560422', 'expiration_date': '9/30', 'cvv': '176', 'card_holder': 'DURMUŞ TANER TEKİN RAMAZAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '7 TRY'}
{'card_number': '4176129950110681', 'expiration_date': '9/30', 'cvv': '595', 'card_holder': 'NİYAZİ AYHAN KAZIM ALİHAN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '88 TRY'}
{'card_number': '4071356171133350', 'expiration_date': '6/25', 'cvv': '615', 'card_holder': 'BARIŞ SONER SEMİH YAŞAR', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '412 TRY'}
{'card_number': '4571712800949001', 'expiration_date': '8/30', 'cvv': '758', 'card_holder': 'TAMER ÖZDEMİR HALUK AHMET', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '1431 TRY'}
{'card_number': '4830358566019196', 'expiration_date': '2/26', 'cvv': '225', 'card_holder': 'REFİK TOLGA EREN TOPRAK', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '2 TRY'}
{'card_number': '4284143559757338', 'expiration_date': '1/28', 'cvv': '145', 'card_holder': 'ÖMER CEM EMRE GÜVEN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '90 TRY'}
{'card_number': '4768270808997368', 'expiration_date': '11/25', 'cvv': '099', 'card_holder': 'RAMAZAN KAYA HİKMET İBRAHİM', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '45 TRY'}
{'card_number': '4196280893441885', 'expiration_date': '9/26', 'cvv': '868', 'card_holder': 'ŞENOL TAYFUN AYHAN MUSTAFA', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '2015 TRY'}
{'card_number': '4476572222623782', 'expiration_date': '2/27', 'cvv': '232', 'card_holder': 'ORÇUN YİĞİT FAİK SEMİH', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '4115 TRY'}
{'card_number': '4311217059609558', 'expiration_date': '6/27', 'cvv': '254', 'card_holder': 'ENGİN YAŞAR YILMAZ HASAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '296 TRY'}
{'card_number': '4384057904669627', 'expiration_date': '8/29', 'cvv': '568', 'card_holder': 'TOPRAK İHSAN HASAN ZAİD', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '487 TRY'}
{'card_number': '4857929804896062', 'expiration_date': '10/26', 'cvv': '279', 'card_holder': 'OKTAY İHSAN YAĞIZ KAMRAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '270 TRY'}
{'card_number': '4203352243449800', 'expiration_date': '5/26', 'cvv': '040', 'card_holder': 'KADİR FERHAT YAŞAR VURAL', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '41 TRY'}
